Customer_ID,Age,Gender,Marital_Status,Education_Level,Employment_Status,Account_Tenure_Months,Account_Type,Number_of_Products,Average_Balance,Monthly_Transactions,Online_Banking_Usage,Mobile_Banking_Usage,Number_of_Complaints,Complaint_Resolution_Rate,Customer_Support_Calls,Email_Opt_In,Credit_Card_Holder,Loan_Account_Holder,Churn
CUST2463,32,Male,Divorced,Primary,Employed,13,Current,2,57001,19,6,10,0,0.97,0,1,0,0,1
CUST2511,45,Male,Single,University,Employed,88,Current,1,24533,14,5,9,0,0.89,2,1,0,0,0
CUST2227,29,Female,Single,Primary,Employed,151,Savings,3,212133,16,11,7,1,0.71,2,1,0,0,0
CUST0526,49,Female,Single,Secondary,Employed,118,Savings,2,94045,22,12,8,0,0.89,0,1,0,0,0
CUST0195,33,Female,Single,Primary,Employed,108,Savings,1,137693,15,7,8,0,0.64,1,0,0,0,0
CUST2986,33,Female,Married,Secondary,Self-employed,69,Savings,3,63153,15,9,11,0,0.78,2,0,0,0,1
CUST1842,41,Male,Married,University,Employed,167,Current,2,378881,11,7,14,1,0.63,1,1,0,0,0
CUST1142,41,Female,Single,Primary,Self-employed,68,Current,1,43330,10,10,7,0,0.95,2,1,0,0,0
CUST1253,49,Female,Married,Secondary,Self-employed,78,Current,4,307651,18,7,9,1,0.87,2,1,0,0,1
CUST1268,40,Female,Single,Primary,Employed,143,Savings,2,105577,16,9,8,0,0.66,0,1,0,0,0
CUST1038,45,Female,Married,None,Self-employed,55,Savings,2,3174,13,8,6,0,0.7,2,1,1,0,0
CUST0665,42,Female,Married,Secondary,Employed,178,Fixed Deposit,1,136072,17,9,12,0,0.9,2,1,0,0,0
CUST2650,30,Female,Divorced,Primary,Employed,150,Savings,2,70709,19,6,18,0,0.84,2,0,0,0,0
CUST1627,48,Female,Married,Secondary,Employed,123,Fixed Deposit,4,232609,17,10,10,0,0.82,2,0,1,0,0
CUST2757,25,Male,Single,Primary,Employed,129,Fixed Deposit,1,71483,18,10,11,1,0.79,0,1,0,1,0
CUST1011,45,Female,Married,Primary,Employed,160,Savings,3,378233,15,4,11,0,0.95,1,1,0,0,0
CUST1115,26,Male,Married,Secondary,Employed,134,Savings,1,18911,9,11,8,0,0.98,1,0,0,0,0
CUST0953,45,Male,Single,Secondary,Employed,85,Savings,2,136574,13,13,12,0,0.5,1,1,0,0,1
CUST0348,34,Female,Married,Primary,Self-employed,157,Savings,4,469796,16,9,11,0,0.96,2,0,1,0,0
CUST1017,35,Female,Married,University,Employed,7,Savings,3,143425,9,14,8,0,0.59,0,1,1,0,0
CUST2013,54,Female,Single,University,Employed,117,Savings,3,25310,15,7,3,0,0.77,1,1,0,0,0
CUST1379,27,Male,Married,Secondary,Employed,81,Current,3,3245,10,7,10,0,0.61,2,0,1,1,0
